ID,kdrama_name,actor,genre,platform,tags,network,episode
1,100 Days My Prince,"['Doh Kyung Soo', ' Nam Ji Hyun', ' Kim Seon Ho', ' Han So Hee', ' Jo Sung Ha', ' Kim Jae Young']","['historical', ' comedy', ' romance', ' drama']","['WeTV', ' Netflix', ' KDRAMA', ' Apple TV', ' Viki']","['amnesia', ' hidden identity', ' marriage of convenience', ' joseon dynasty', ' fake marriage', ' eccentric male lead', ' hardworking female lead', ' double identity', ' strong female lead', ' riches to rags ']",['tvN'],16
2,12 Signs of Love,"['Ohn Joo Wan', ' Yoon Jin Seo', ' Lee Yong Woo', ' Bae Geu Rin', ' Go Joon Hee', ' Kim Sung  Je']","['comedy', ' romance', ' life']",['N/A'],['writer female lead '],['tvN'],16
3,12 Years Promise,"['Lee So Yeon', ' Namkoong Min', ' Lee Tae Im', ' Park Hae Mi', ' Shin Dong Mi', ' Song Young Kyu']","['food', ' romance', ' drama', ' family']",['Viki'],"['unexpected pregnancy', ' miscarriage', ' teenage pregnancy', ' pregnancy', ' high school to working life', ' rags to riches', ' high school', ' rich male lead', ' first love', ' soap opera ']",['jTBC'],26
4,18 Again,"['Kim Ha Neul', ' Yoon Sang Hyun', ' Lee Do Hyun', ' Roh Jeong Eui', ' Ryeoun', ' Wi Ha Joon']","['romance', ' life', ' drama', ' fantasy']",['WeTV'],"['second chance', ' first love', ' fatherson relationship', ' divorce', ' fatherdaughter relationship', ' hardworking female lead', ' motherdaughter relationship', ' school', ' becoming young', ' school bullying ']",['jTBC'],16
5,365: Repeat the Year,"['Lee Joon Hyuk', ' Nam Ji Hyun', ' Kim Jee Soo', ' Lee Sung Wook', ' Yoon Joo Sang', ' Ahn Seung Gyun']","['thriller', ' mystery', ' drama', ' fantasy']",['Viki'],"['strong female lead', ' time travel', ' nice male lead', ' suspense', ' murder', ' fate', ' supernatural', ' lying', ' bromance', ' strong male lead ']",['MBC'],24
6,4 Legendary Witches,"['Han Ji Hye', ' Ha Seok Jin', ' Go Doo Shim', ' Oh Hyun Kyung', ' Ha Yeon Soo', ' Byun Jung Soo']","['food', ' romance', ' drama', ' family']",['N/A'],"['manager supporting character', ' single father', ' widower', ' hardworking female lead', ' entrepreneur', ' wrongfully accused', ' accident', ' poor female lead', ' corruption', ' cohabitation ']",['MBC'],40
7,5th Republic,"['Lee Deok Hwa', ' Seo In Seok', ' Kim Young Ran', ' Song Ok Sook', ' Jung Yoo Chan', ' Park In Hwan']","['military', ' historical', ' life', ' drama', ' political']",['N/A'],"['massacre', ' gwangju uprising', ' death', ' based on true story ']",['MBC'],41
8,7 First Kisses,"['Lee Cho Hee', ' Choi Ji Woo', ' Lee Joon Gi', ' Park Hae Jin', ' Ji Chang Wook', ' Kai']","['comedy', ' romance', ' scifi']",['LDF'],"['reverseharem', ' miniseries', ' web series', ' advertisement', ' time travel', ' male chases female first', ' short length series', ' time altering', ' multiple mains', ' childhood friends relationship ']",['Naver TV Cast'],8
9,7th Grade Civil Servant,"['Joo Won', ' Choi Kang Hee', ' Kim Min Seo', ' Hwang Chan Sung', ' Noh Young Hak', ' Choi Jong Hwan']","['action', ' comedy', ' romance']",['N/A'],"['national intelligence service', ' rivals to lovers', ' spy', ' second chance', ' rich male lead ']",['MBC'],20
10,#Alive,"['Jo Seung Hyun', ' Shin Woo Hee', ' Jeong Seon Yul', ' Kim Joon', ' Park Jung Won']","['mystery', ' horror', ' supernatural']","['Lululala Story Lab', ' Viki']","['ghostseeing male lead', ' ghost', ' investigation', ' suspense', ' workplace setting', ' short length series', ' customer service staff', ' workplace abuse', ' miniseries', ' death ']",['Naver TV Cast'],8
