ID,kdrama_name
1,100 Days My Prince
2,12 Signs of Love
3,12 Years Promise
4,18 Again
5,365: Repeat the Year
6,4 Legendary Witches
7,5th Republic
8,7 First Kisses
9,7th Grade Civil Servant
10,#Alive
11,A Beautiful Mind
12,A Bird That Doesn't Sing
13,A Daughter Just Like You
14,A Gentleman's Dignity
15,A Girl Who Sees Smells
16,A Happy Woman
17,A Hundred Year Legacy
18,A Korean Odyssey
19,A Little Love Never Hurts
20,A Love So Beautiful
21,A Model Family
22,A New Leaf
23,A Piece of Your Mind
24,A Place in the Sun
25,A Pledge to God
26,A Poem a Day
27,A Superior Day
28,A Tale of Two Sisters
29,A Thousand Days' Promise
30,A Thousand Kisses
31,A Time Called You
32,A Witch's Love
33,A-Teen 2
34,About Time
35,Abyss
36,Ad Genius Lee Tae-baek
37,Adamas
38,Adult Trainee
39,"Aeja's Older Sister, Minja"
40,Aftermath
41,Again My Life
42,Age of Warriors
43,Air City
44,Alchemy of Souls
45,Alice
46,All About My Mom
47,All About My Romance
48,All In
49,All of Us Are Dead
50,Alone in Love
51,Amanza
52,Amor Fati
53,Andante
54,Ang Shim Jung
55,Angel Eyes
56,Angel's Choice
57,Angel's Last Mission: Love
58,Angel's Revenge
59,Angry Mom
60,Anna
61,Another Miss Oh
62,Another Peaceful Day of Second-Hand Items
63,Apgujeong Midnight Sun
64,April Kiss
65,Arang and the Magistrate
66,Are You Human?
67,Argon
68,Arthdal Chronicles
69,Artificial City
70,Ask the Stars
71,Asphalt Man
72,Assembly
73,At Eighteen
74,"At a Distance, Spring Is Green"
75,Autumn Shower
76,Avengers Social Club
77,Awaken
78,Babel
79,Baby Faced Beauty
80,Babysitter
81,Bachelor's Vegetable Store
82,Backstreet Rookie
83,Bad and Crazy
84,Bad Guy
85,Bad Guys
86,Bad Guys 2
87,Bad Housewife
88,Bad Papa
89,"Bad Thief, Good Thief"
90,"Bad Woman, Good Woman"
91,Ballad of Seodong
92,Band of Sisters
93,Banjun Drama
94,Basketball
95,Be Melodramatic
96,Be My Dream Family
97,Be Positive
98,"Be Strong, Geum-soon!"
99,Beating Again
100,Beating Heart
101,Beautiful Days
102,Beautiful Gong Shim
103,"Beautiful Love, Wonderful Life"
104,Beautiful World
105,Because This Is My First Life
106,Becky's Back
107,Becoming Witch
108,Behind the White Tower
109,Bel Ami
110,Best Chicken
111,Beyond Evil
112,Beyond the Clouds
113,Big
114,Big Issue
115,Big Man
116,Big Mouth
117,"Billie Jean, Look at Me"
118,Birdie Buddy
119,Birth of a Beauty
120,Birthcare Center
121,Bizarre Bunch
122,Black
123,Black Dog: Being A Teacher
124,Black Knight
125,Black Knight: The Man Who Guards Me
126,Blade Man
127,Blessing of the Sea
128,Blind
129,Blood
130,Blooded Palace: The War of Flowers
131,Bloody Heart
132,Bloody Romance
133,Blossom Sisters
134,Blow Breeze
135,Blue Birthday
136,Bodyguard
137,Born Again
138,Bossam: Steal the Fate
139,Boys Over Flowers
140,Brain
141,Bravo My Life
142,"Bravo, My Life"
143,"Bravo, My Love!"
144,Bridal Mask
145,Bride of the Century
146,Bride of the Sun
147,Brilliant Heritage
148,Brilliant Legacy
149,"Bring It On, Ghost"
150,Bubble Gum
151,Bubbly Lovely
152,Bulgasal: Immortal Souls
153,Business Proposal
154,Café Minamdang
155,Call My Agent!
156,"Can We Fall in Love, Again?"
157,Can We Get Married?
158,Can't Lose
159,Can't Stand Anymore
160,Capital Scandal
161,Casino
162,Catch the Ghost
163,Cheat on Me If You Can
164,Cheer Up
165,Cheer Up!
166,"Cheer Up, Mr. Kim!"
167,Cheese in the Trap
168,Cheongdam-dong Alice
169,Cheongdam-dong Scandal
170,Cheo Yong
171,Chicago Typewriter
172,Chief of Staff
173,Children of a Lesser God
174,Children of Nobody
175,Children of the 20th Century
176,Chimera
177,Chip In
178,Choco Bank
179,Chocolate
180,Chunja's Special Day
181,Cinderella with Four Knights
182,Circle
183,City Hunter
184,City of the Sun
185,Class of Lies
186,Clean with Passion for Now
187,Cleaning Up
188,Coffee Prince
189,"Coffee, Do Me a Favor"
190,Color Rush
191,Coma
192,Come and Hug Me
193,Come Back Mister
194,Confession
195,Connect
196,Conspiracy in the Court
197,"Cool Guys, Hot Ramen"
198,Couple or Trouble
199,Crash Landing on You
200,Crazy Love
201,Criminal Minds
202,Cross
203,Cruel Love
204,Cunning Single Lady
205,Curtain Call
206,D.P.
207,Dae Jang Geum
208,Dae Jang Geum Is Watching
209,Dae Jo-yeong
210,Daemyeong
211,Dal-ja's Spring
212,Dali and Cocky Prince
213,Damo
214,Dangerous Woman
215,Daring Women
216,Dark Hole
217,Dating Agency: Cyrano
218,Dear Heaven
219,Dear My Friends
220,Dear X Who Doesn't Love Me
221,Dear. M
222,Deep Rooted Tree
223,Definitely Neighbors
224,Delayed Justice
225,Delicious Proposal
226,Delivery
227,Descendants of the Sun
228,Designated Survivor: 60 Days
229,Devilish Charm
230,Diary of a Night Watchman
231,Diary of a Prosecutor
232,Did We Really Love?
233,Different Dreams
234,Dinner Mate
235,Discovery of Love
236,Distorted
237,Divorce Lawyer in Love
238,Do Do Sol Sol La La Sol
239,Do You Like Brahms?
240,Doctor Detective
241,Doctor John
242,Doctor Lawyer
243,Doctor Prisoner
244,Doctor Stranger
245,Dokgo Rewind
246,Don't Cry My Love
247,Don't Dare to Dream
248,Don't Hesitate
249,Don't Look Back: The Legend of Orpheus
250,Doom at Your Service
251,White Christmas
252,Dream
253,Dream High
254,Dream High 2
255,Dream of the Emperor
256,Drinking Solo
257,Dr. Brain
258,Dr. Frost
259,Dr. Ian
260,Dr. Jin
261,Dr. Kkang
262,Dr. Park's Clinic
263,Dr. Romantic
264,Duel
265,Dummy Mommy
266,Eccentric! Chef Moon
267,"Eight Days, Assassination Attempts against King Jeongjo"
268,Emergency Couple
269,Emperor of the Sea
270,Empire of Gold
271,Empress Ki
272,Empress Myeongseong
273,Enchanting Neighbor
274,Encounter
275,Endless Love
276,Summer Scent
277,Enemies from the Past
278,Entertainer
279,Entourage
280,Erexion
281,Eve
282,Evergreen
283,Everybody Say Kimchi
284,Exo Next Door
285,Extracurricular
286,Extraordinary Attorney Woo
287,Extraordinary You
288,Ex-Girlfriends' Club
289,Eyes of Dawn
290,Faith
291,Falling for Challenge
292,Familiar Wife
293,Family
294,Family Secret
295,Family's Honor
296,Fantastic
297,Fashion 70s
298,Fashion King
299,Fatal Promise
300,Fates & Furies
301,"Father, I'll Take Care of You"
302,Father's House
303,Feast of the Gods
304,Feel Good to Die
305,Fight for My Way
306,Find Me in Your Memory
307,Fireworks
308,First Love
309,First Love Again
310,First Wives' Club
311,Five Enough
312,Five Fingers
313,Flower Band
314,Flower Crew: Joseon Marriage Agency
315,Flower Grandpa Investigation Unit
316,Flower of Evil
317,Flower of Queen
318,Flower of Revenge
319,Flowers of the Prison
320,Fly High Butterfly
321,Forecasting Love and Weather
322,Forest
323,Forever Young
324,Foundation of the Kingdom
325,Four Sisters
326,"Freedom Fighter, Lee Hoe-young"
327,Freeze
328,"From Now On, Showtime!"
329,Full House Take 2
330,Gangnam Beauty
331,Gangnam Scandal
332,Gap-dong
333,Get Revenge
334,Get Up
335,Ghost Doctor
336,Girls' Generation 1979
337,Glamorous Temptation
338,Glass Castle
339,Glass Mask
340,Glass Slippers
341,Glitch
342,Gloria
343,Glorious Day
344,Glory Jane
345,Go Back
346,God of War
347,Goddess of Fire
348,Goddess of Marriage
349,God's Gift: 14 Days
350,"Gogh, The Starry Night"
351,Gold Mask
352,Golden Apple
353,Golden Bride
354,Golden Cross
355,Golden Fish
356,Golden Pouch
357,Golden Rainbow
358,Golden Spoon
359,Golden Time
360,Good Casting
361,Good Doctor
362,"Good Job, Good Job"
363,Good Manager
364,Goodbye Dear Wife
365,Goodbye Mr. Black
366,Goodbye My Love
367,Goodbye Solo
368,Goodbye to Goodbye
369,Graceful Family
370,Graceful Friends
371,Gracious Revenge
372,Grand Prince
373,Green Mothers' Club
374,Grid
375,Gu Family Book
376,Guardian Angel
377,Guardian: The Lonely and Great God
378,Gunman in Joseon
379,"Gwanggaeto, The Great Conqueror"
380,Gyebaek
381,Haechi
382,Happiness
383,Happy Ending
384,Happy Home
385,Happy Sisters
386,Happy Together
387,He Is Psychometric
388,Healer
389,Heard It Through the Grapevine
390,Heart Surgeons
391,Heart to Heart
392,Heartless City
393,Heartstrings
394,Hell Is Other People
395,Hellbound
396,Hello Franceska
397,Hello Monster
398,"Hello, Me!"
399,"Hello, My Twenties!"
400,Her Private Life
401,Here Comes Mr. Oh
402,Here's My Plan
403,Hero
404,"Hi Bye, Mama!"
405,Hi! School: Love On
406,Hidden Identity
407,Hide and Seek
408,High Class
409,High End Crush
410,High Kick!
411,High Kick: Revenge of the Short Legged
412,High School King of Savvy
413,High Society
414,History of a Salaryman
415,Hit the Top
416,Hogu's Love
417,Hold Me Tight
418,Hold My Hand
419,Home for Summer
420,Homemade Love Story
421,Hometown
422,Hometown Cha-Cha-Cha
423,Hong Kong Express
424,Hospital Playlist
425,Hospital Ship
426,Hot Stove League
427,Hotel del Luna
428,Hotel King
429,Hotelier
430,House of Bluebird
431,How Are U Bread
432,How Long I've Kissed
433,How to Be Thirty
434,How to Buy a Friend
435,How to Meet a Perfect Neighbor
436,How Should I Be
437,Hur Jun
438,"Hur Jun, The Original Story"
439,Hush
440,Hwarang: The Poet Warrior Youth
441,"Hyde Jekyll, Me"
442,Hyena
443,I Can Hear Your Voice
444,"I Do, I Do"
445,I Have a Lover
446,I Like You
447,I Love Lee Taly
448,I Need Romance
449,I Need Romance 2012
450,I Need Romance 3
451,I Order You
452,I Picked Up a Celebrity on the Street
453,I Wanna Hear Your Song
454,I'm After You
455,I'm Not a Robot
456,"I'm Sorry, But I Love You"
457,"I'm Sorry, I Love You"
458,Ice Adonis
459,Idol Drama Operation Team
460,Idol: The Coup
461,If Tomorrow Comes
462,If You Wish Upon Me
463,Iljimae
464,Imaginary Cat
465,Imitation
466,Immortal Admiral Yi Sun-sin
467,In-soon Is Pretty
468,Incarnation of Money
469,Innocent Defendant
470,Insider
471,Inspector Koo
472,Inspiring Generation
473,"Insu, the Queen Mother"
474,Into the Flames
475,Introverted Boss
476,Ireland
477,Iris
478,Iris II: New Generation
479,Island
480,Itaewon Class
481,Item
482,It's Beautiful Now
483,It's My Life
484,It's Okay to Not Be Okay
485,"It's Okay, That's Love"
486,Jang Bo-ri Is Here!
487,"Jang Ok-jung, Living by Love"
488,Jeong Do-jeon
489,Ji Woon-soo's Stroke of Luck
490,Jinxed at First
491,Jirisan
492,Jolly Widows
493,Joseon Exorcist
494,Joseon Survival Period
495,JTBC Drama Festa
496,Judge vs. Judge
497,Jugglers
