kdrama_name,Episodes,ID
100 Days My Prince,16,1
12 Signs of Love,16,2
12 Years Promise,26,3
18 Again,16,4
365: Repeat the Year,24,5
4 Legendary Witches,40,6
5th Republic,41,7
7 First Kisses,8,8
7th Grade Civil Servant,20,9
#Alive,8,10
A Beautiful Mind,14,11
A Bird That Doesn't Sing,100,12
A Daughter Just Like You,120,13
A Gentleman's Dignity,20,14
A Girl Who Sees Smells,16,15
A Happy Woman,58,16
A Hundred Year Legacy,50,17
A Korean Odyssey,20,18
A Little Love Never Hurts,50,19
A Love So Beautiful,24,20
A Model Family,10,21
A New Leaf,16,22
A Piece of Your Mind,12,23
A Place in the Sun,102,24
A Pledge to God,48,25
A Poem a Day,16,26
A Superior Day,8,27
A Tale of Two Sisters,135,28
A Thousand Days' Promise,20,29
A Thousand Kisses,50,30
A Time Called You,0,31
A Witch's Love,16,32
A-Teen 2,20,33
About Time,16,34
Abyss,16,35
Ad Genius Lee Tae-baek,16,36
Adamas,16,37
Adult Trainee,7,38
"Aeja's Older Sister, Minja",140,39
Aftermath,5,40
Again My Life,16,41
Age of Warriors,158,42
Air City,16,43
Alchemy of Souls,20,44
Alice,16,45
All About My Mom,54,46
All About My Romance,16,47
All In,24,48
All of Us Are Dead,12,49
Alone in Love,16,50
Amanza,9,51
Amor Fati,120,52
Andante,16,53
Ang Shim Jung,13,54
Angel Eyes,20,55
Angel's Choice,140,56
Angel's Last Mission: Love,32,57
Angel's Revenge,103,58
Angry Mom,16,59
Anna,6,60
Another Miss Oh,18,61
Another Peaceful Day of Second-Hand Items,6,62
Apgujeong Midnight Sun,149,63
April Kiss,24,64
Arang and the Magistrate,20,65
Are You Human?,36,66
Argon,8,67
Arthdal Chronicles,6,68
Artificial City,20,69
Ask the Stars,0,70
Asphalt Man,16,71
Assembly,20,72
At Eighteen,16,73
"At a Distance, Spring Is Green",12,74
Autumn Shower,16,75
Avengers Social Club,12,76
Awaken,16,77
Babel,16,78
Baby Faced Beauty,20,79
Babysitter,4,80
Bachelor's Vegetable Store,24,81
Backstreet Rookie,16,82
Bad and Crazy,12,83
Bad Guy,11,84
Bad Guys,11,85
Bad Guys 2,16,86
Bad Housewife,18,87
Bad Papa,32,88
"Bad Thief, Good Thief",50,89
"Bad Woman, Good Woman",140,90
Ballad of Seodong,55,91
Band of Sisters,68,92
Banjun Drama,1,93
Basketball,18,94
Be Melodramatic,16,95
Be My Dream Family,120,96
Be Positive,6,97
"Be Strong, Geum-soon!",163,98
Beating Again,16,99
Beating Heart,12,100
Beautiful Days,149,101
Beautiful Gong Shim,20,102
"Beautiful Love, Wonderful Life",100,103
Beautiful World,16,104
Because This Is My First Life,16,105
Becky's Back,4,106
Becoming Witch,12,107
Behind the White Tower,20,108
Bel Ami,16,109
Best Chicken,12,110
Beyond Evil,16,111
Beyond the Clouds,16,112
Big,16,113
Big Issue,32,114
Big Man,16,115
Big Mouth,16,116
"Billie Jean, Look at Me",26,117
Birdie Buddy,24,118
Birth of a Beauty,21,119
Birthcare Center,8,120
Bizarre Bunch,170,121
Black,18,122
Black Dog: Being A Teacher,16,123
Black Knight,6,124
Black Knight: The Man Who Guards Me,20,125
Blade Man,18,126
Blessing of the Sea,121,127
Blind,16,128
Blood,20,129
Blooded Palace: The War of Flowers,50,130
Bloody Heart,16,131
Bloody Romance,0,132
Blossom Sisters,50,133
Blow Breeze,53,134
Blue Birthday,16,135
Bodyguard,22,136
Born Again,32,137
Bossam: Steal the Fate,20,138
Boys Over Flowers,25,139
Brain,20,140
Bravo My Life,120,141
"Bravo, My Life",120,142
"Bravo, My Love!",57,143
Bridal Mask,28,144
Bride of the Century,16,145
Bride of the Sun,112,146
Brilliant Heritage,122,147
Brilliant Legacy,122,148
"Bring It On, Ghost",16,149
Bubble Gum,16,150
Bubbly Lovely,120,151
Bulgasal: Immortal Souls,16,152
Business Proposal,12,153
Café Minamdang,18,154
Call My Agent!,16,155
"Can We Fall in Love, Again?",20,156
Can We Get Married?,20,157
Can't Lose,18,158
Can't Stand Anymore,111,159
Capital Scandal,16,160
Casino,16,161
Catch the Ghost,16,162
Cheat on Me If You Can,16,163
Cheer Up,16,164
Cheer Up!,16,165
"Cheer Up, Mr. Kim!",124,166
Cheese in the Trap,16,167
Cheongdam-dong Alice,16,168
Cheongdam-dong Scandal,119,169
Cheo Yong,10,170
Chicago Typewriter,16,171
Chief of Staff,10,172
Children of a Lesser God,16,173
Children of Nobody,32,174
Children of the 20th Century,32,175
Chimera,16,176
Chip In,8,177
Choco Bank,6,178
Chocolate,16,179
Chunja's Special Day,111,180
Cinderella with Four Knights,16,181
Circle,12,182
City Hunter,20,183
City of the Sun,16,184
Class of Lies,16,185
Clean with Passion for Now,16,186
Cleaning Up,16,187
Coffee Prince,17,188
